Job Title,Company,Location,Experience,Min Experience,Max Experience,Salary Label,Min Salary (INR),Max Salary (INR),Job Role,Skills
Data Integration Analyst,Alstom,Bengaluru,4-9 Yrs,4,9,Not Disclosed,0.0,0.0,Database Analyst,"rest, medical, data analysis, enterprise architecture, edi, enterprise integration, api management, digital platforms, sql, integration platforms, data integration"
Data Surveillance Analyst,Parexel,India,2-5 Yrs,2,5,Not Disclosed,0.0,0.0,Data Analyst,"medical, data management, trend, interpersonal skills, sql, analytics, triage, communication skills, data operations, data analysis"
Data Analyst,Indian School of Business & Finance (ISBF),Prayagraj,2-5 Yrs,2,5,Not Disclosed,0.0,0.0,Data Analyst,"Data analysis, metadata, SAS, Data management, Compliance, Analytical, E-governance, data governance, Monitoring, Python"
Data Analyst,Themathcompany,Bengaluru,5-7 Yrs,5,7,Not Disclosed,0.0,0.0,Data Analyst,"python, confluence, analytical, saps, software testing, documentation, power bi, microsoft azure, jde, machine learning"
Data Analyst,Nexshore Technologies,Bengaluru,4-8 Yrs,4,8,Not Disclosed,0.0,0.0,Database Analyst,"Data Manipulation, Data Cleansing, Data Mapping, Data Analysis"
Data Analyst,Diverse Lynx,Bengaluru,5-7 Yrs,5,7,Not Disclosed,0.0,0.0,Data Analyst,"Data dictionary, Automation, Manager Quality Assurance, Version control, Data modeling, Data quality, Analytics, Product marketing, SQL, Python"
Data Analyst - Service Now,Virtusa,Hyderabad,8-12 Yrs,8,12,Not Disclosed,0.0,0.0,Data Analyst,"Data Model, Data Analyst, Service now"
Data Analyst,Cito Techno Services,Bengaluru,8-10 Yrs,8,10,10.8-14.4 Lacs,1080000.0,1440000.0,Data Science & Analytics - Other,"ERP, SME, JIRA, GCP"
Data Analyst,Ohara It Solutions,Mumbai,1-5 Yrs,1,5,4-9 Lacs,400000.0,900000.0,Data Analyst,"Power Bi, Bi, Data Analysis, Bi Tools, Data Visualization, Tableau, Data Warehousing, Dashboards, SQL, Data Analytics"
Data Analyst,Capco,Pune,0-7 Yrs,0,7,Not Disclosed,0.0,0.0,Data Analyst,"Delivery excellence, remediation, Management consulting, Banking, Manager Technology, Consultancy, Data Analyst, Financial services, SQL, Python"
